;ID;Name;Price_night;Rank;Adress;Phone;Website;Description;Number_of_Rooms;Hotel_Style;Mail;Rating;Number_Rating;Location_Rating;Cleanliness_Rating;Service_Rating;Value_Rating;Walking_Grade;Near_Restaurants;Near_Attractions;Language_Spoken;Wifi;Taxi;Breakfast;Baggage_storage;All_day_front_desk;All_day_check_in;Dry_cleaning;Complimentary_Coffee;Snack_bar;Concierge;Newspaper;Laundry_service;Non_smoking_hotel;Ironing_service;Kid_friendly_buffet;Bar_Lounge;Allergy_free_room;Coffee_tea_maker;Blackout_curtains;Air_conditioning;Housekeeping;Flatscreen_TV;Bathrobes;All_day_check_in.1;Alarm_clock;Complimentary_toiletries;Snack_bar.1;Soundproof_rooms;Desk;Minibar;Bath_shower;Safe;Bottled_water;Electric_kettle;Hair_dryer;Family_rooms;Non_smoking_rooms;Valet_parking;Pool;Indoor_pool;Sauna;Hot_tub;Fitness_Center;Rooftop_bar;Spa;Massage;Doorperson;Umbrella;Butler_service;Umbrella.1;Hammam;Meeting_rooms;Banquet_room;Meeting_rooms.1;Highchairs_available;Pets_Allowed;Car_hire;Restaurant;Extra_long_beds;Air_purifier;Room_service;Private_balcony;Landmark_view;City_view;Suites;Separate_dining_area;Interconnected_rooms_available;Cable_satellite_TV;Refrigerator;Breakfast_in_the_room;Personal_trainer;Currency_exchange;Paid_private_parking_nearby;Walking_tours;Yoga_room;Books_DVD_music;Strollers
0;0;Hotel Malte - Astotel;169;#1;63 rue de Richelieu, 75002 Paris France;01 44 58 94 94;https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=228694&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=227097810&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkYVgngML5Wh2w8zYZk95mQ55GzGnNY59X1rkVkaYIe0_RLTdr6iNYHoVagHSOB9-HA&adults=2&child_rm_ages=&inDay=27&outDay=28&rooms=1&inMonth=3&inYear=2022&outMonth=3&outYear=2022&def_d=true&bapid=1&cs=188042eb85044c8c9e15618489d9788fd&ba_uid=1a25725d-878a-4f12-9a0e-2b888b009c43;"Located in the 2nd district next to the Stock Exchange, the Louvre and Place des Victoires, Hotel Malta provides a superb location for a memorable stay. Whether you want to shop in the heart of the department store neighbourhood or visit one of the main business centres of Paris, Malta Hotel is the place to be. Elegantly concealed behind a facade dating from the seventeenth century, let yourself be seduced by our garden patio, a pleasurable experience on sunny days, our cozy breakfast room, and the relaxing atmosphere of our lobby. After the warm welcome by our professional team, always at your disposal, you will appreciate the comfort of our rooms decorated in an elegant and timeless design. A convenient location , caring personnel and warm atmosphere make Malta Hotel the perfect place for your stay in the capital, whether traveling with family or on your own.
Read more";64; Value ;hotel.malte@astotel.com;5.0;1,852;5.0;5.0;5.0;4.5;100.0;124.0;625.0;English, French, Spanish, German and 1 more ;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;Hotel 34B - Astotel;139;#24;34 Rue Bergere, 75009 Paris France;01 47 70 34 34;https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=9566832&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=227097819&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkb65BDCgeM4g0h3EJupZrUtPADpCmH6a_KXfApvb3KwKXUq05EXCoSnEBTl4fAvd2Q&adults=2&child_rm_ages=&inDay=27&outDay=28&rooms=1&inMonth=3&inYear=2022&outMonth=3&outYear=2022&def_d=true&bapid=1&cs=1ec5f2e05571a4f5f8ee6dd51d7aa5b62&ba_uid=a67e4560-6751-4d07-9825-f23472452ddf;"You'll be amazed by the 100% French interiors at Hotel 34B. This 3-star hotel, ideal for a cultural holiday or shopping trip in Paris, is close to the Galeries Lafayette, Printemps Haussmann and Grand Boulevards. Culture fans will enjoy the hotel's closeness to the Folies Bergères, Opéra Garnier and Musée Grévin. Right next to a metro station on lines 8 and 9, you can travel all over Paris in a flash. A charming 3-star hotel in Paris' 9th arrondissement, with its delicate and detailed design, Hotel 34B stands out from the crowd. The interior decoration and French soul of the hotel ensure a purely Français experience! With its innovative and original design and 3-star service, you will be delighted by Hotel 34B. Stay in one of its 128 rooms, each decorated in an unusual style. Exceptional comfort with high quality, spacious 2-metre beds. Use the free WiFi to organise your days. Enjoy your breakfast with fresh and varied produce in the cosy lobby, then relax on the comfy sofas in the lounge. Travel guides and other books on France are at your disposal, to introduce you to the riches of the country and perhaps help you organise your trips. Soft drinks and snacks are available at the open bar in the afternoon. The attentive staff and warm atmosphere at Hotel 34B will make your stay in Paris truly memorable.
Read more";128; Value Trendy ;hotel.34b@astotel.com;5.0;2,946;5.0;5.0;4.5;4.5;100.0;99.0;660.0;English, French, Spanish, Arabic and 1 more ;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;0;0;0;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2;2;Hotel Bradford Elysees - Astotel;173;#6;10, rue Saint Philippe du Roule, 75008 Paris France;01 45 63 20 20;https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=197946&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=227097829&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkWq80W_EHELOTlio8-krP8NewUgQyJ506mMSR_XcnVbMYAv3rF3spLfNRNJWtQq50A&adults=2&child_rm_ages=&inDay=27&outDay=28&rooms=1&inMonth=3&inYear=2022&outMonth=3&outYear=2022&def_d=true&bapid=1&cs=1e00df2ddb60f00e680a8eaf4a211b865&ba_uid=4a9161f7-2af2-4442-b47e-85a7a0f1bf71;"Located in an exceptional area between the Champs-Elysees and Faubourg St-Honore, discover the charm of a authentic Haussman-style hotel. Surrounded by the portraits of the Bradford family, presented in a universe of soft and warm silks, let yourself be seduced by the refined, bright and delicate interior of Bradford Elysees. All rooms are serviced by a magnificient historical lift. All rooms are air conditioned and decorated in classic, elegant colors. Some of our 50 rooms feature house chimneys, remnants of the Haussmann period, whereas others provide balconies for a true Parisian stay Of course, we do not forget the modern touch: All rooms are well equipped with an iPod docking station, cable TV and a minibar. Delicious, varied, and generous breakfast buffet, served each morning under the sumptuous canopy of the bright dining room. Don't forget that you can also enjoy breakfast in the privacy of your room. Whether travelling with your family or on your own, the charm of our hotel, a safe shelter from the bustle albeit a few steps away from the most beautiful avenue in the world, will no doubt bewitch you.
Read more";50; Value Romantic ;hotel.bradford@astotel.com;5.0;2,433;5.0;5.0;5.0;4.5;100.0;59.0;413.0;English, French, Spanish, Arabic and 1 more ;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;3;Hotel Astoria - Astotel;99;#72;42 rue de Moscou 8th Arr., 75008 Paris France;01 42 93 63 53;https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=230431&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=227097837&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIke6fo24j-Tev8ZTzmZIYdF2tWKnAmAiIWzGULkJ7n3LqVD_HzdrD3hUhJpSiMAXspg&adults=2&child_rm_ages=&inDay=27&outDay=28&rooms=1&inMonth=3&inYear=2022&outMonth=3&outYear=2022&def_d=true&bapid=1&cs=102cb8ee05f5ea4d730100e403dd1ee14&ba_uid=11618772-e2f1-477d-8fbd-3e8f8b7769be;"At the heart of a quiet street between Opera and major department stores , a short walk from the Gare Saint Lazare, close to Rome station, the Astoria Opera Hotel sits in a central location with direct access to the Champs Elysees - within 10 minutes via Metro, or to the picturesque neighborhood of Montmartre. Our professional and caring staff will welcome you in our cozy lobby, fitted with comfortable leather sofas. Our 86 rooms are decorated with warm colours and contemporary furnishings. They are all carpeted, equipped with satellite TV and feature a private bathroom with hairdryer. This welcoming and cozy atmosphere is intended to make your stay as relaxing and comfortable as possible.
Read more";86; Family Business ;hotel.astoria@astotel.com;4.5;1,804;4.5;4.5;4.5;4.5;100.0;23.0;311.0;English, French, Spanish, German and 1 more ;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;0;0;0;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;4;Hotel Palm - Astotel;99;#3;30 Rue De Maubeuge 9th Arr., 75009 Paris France;01 42 85 07 61;https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=232480&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=227097845&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkdqePQiaqYuCIx0--kPvsDgt3qmC3INsSGzs67R6-svNxmbPhpi7uPjlArnpl_IBmQ&adults=2&child_rm_ages=&inDay=27&outDay=28&rooms=1&inMonth=3&inYear=2022&outMonth=3&outYear=2022&def_d=true&bapid=1&cs=1ccea5694bf53a825b3d6901eeb530837&ba_uid=c3986804-18a2-45f2-9382-c90fff3ba5b2;"Behind its Parisian facade, you will find the subtly offbeat universe of our Palm Opera Hotel, expressed in its style and bright colors, designed by two young interior designers, Aurelie Sahuque and Sophie Hanniet. Vintage pop atmosphere and retro design: Make no mistake, this is a decidedly playful and trendy spot. Our 38 charming and intimate rooms are equipped with flat screen TV, internet connection, i-Pod station and safe. We attach great importance to your comfort: Our hotel is non-smoking and also offers environmentally-safe welcome products. Both children and grown-ups will love our breakfast time: Children can move about in their own playground while a tasty and varied buffet is served. You can also relax in our luminous lobby with a luminous bay window, browse the web on your computer with our free WiFi , or read the style magazines available. The Palm Opera Hotel is 350 meters away from the Cadet Metro station, which provides direct access the Opera , Galeries Lafayette , Louvre Museum and the district of Chatelet . The Palm Hotel, standing in the heart of Paris by the Opera, is a colorful oasis for those seeking an original stay.
Read more";38; Business Residential Neighborhood ;hotel.palm@astotel.com;4.5;1,803;4.5;4.5;4.5;4.5;100.0;55.0;576.0;English, French, Spanish, Arabic and 2 more ;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;0;0;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;5;The Peninsula Paris;1,5;#166;19 avenue Kleber, 75116 Paris France;01 58 12 28 88;https://www.tripadvisor.com/Commerce?p=Peninsula_BA&src=203094605&geo=6678144&from=Hotel_Review&area=&slot=2&matchID=1&oos=0&cnt=1&silo=41312&bucket=947860&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=227097856&managed=false&capped=false&gosox=2afBke2oyOgyG0EnpWzKOOgjQviHlJQg6b-lnBPg98x_z9Z0XP9pjcZi3RyRnEOZgyesxv9iBgjQM0bsJC7CLOrP88uJhFMlRGMXfXm9iQQ&adults=2&child_rm_ages=&inDay=27&outDay=28&rooms=1&dated=true&inMonth=3&inYear=2022&outMonth=3&outYear=2022&def_d=true&bapid=2&cs=176527a349cef47511fb4b49119d540b7&ba_uid=489d031c-da00-4d96-a346-47b84041c2ba;"Exquisitely restored spaces are complemented by contemporary art installations, furnishings and technology. Dazzling rooftop spaces and private terrace gardens offer 360° views and glamorous extras that make The Peninsula Paris a decidedly 21st century palace.As with all Peninsula Hotels, location is of prime importance and Paris is no exception. Just steps away from the Arc de Triomphe and Avenue des Champs Elysées at 19 Avenue Kléber in the heart of the elegant 16th arrondissement, The Peninsula sits close to some of the world’s most famous monuments, museums and luxury shopping districts.
Read more";200; City View Luxury ;None;4.5;1,125;5.0;5.0;4.5;4.5;100.0;25.0;141.0;English, French, Russian, Spanish and 10 more ;1;0;1;1;1;1;1;0;0;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0
6;6;Hotel Lorette - Astotel;99;#47;36 rue Notre Dame de Lorette 9th Arr., 75009 Paris France;01 42 85 18 81;https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=228848&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=227097872&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkSPWRnbF3eH-GpzdHdLW5IC7kU4GIbHAsQuqs8BdGH97kpU7F38Fk7UQNTmRM6eqsg&adults=2&child_rm_ages=&inDay=27&outDay=28&rooms=1&inMonth=3&inYear=2022&outMonth=3&outYear=2022&def_d=true&bapid=1&cs=1ae28506e8f6b1c94d85b5b24d8d8f395&ba_uid=df0a50f0-d92b-439d-a2d4-f01e1c30fbac;"Centrally located, our beautiful establishment in Haussmann-style embodies the perfect combination of original Parisian charm and modernity, thanks to its recent renovation in 2012. Its outstanding location allows guests to explore Paris on foot. Sacre Coeur, Montmartre, the Opera and major department Stores are withing a 10-minute walk from the hotel; the nearby st Georges (line 12) Metro station provides direct access to Champs Elysees in under 15 minutes. Upon arrival, you will be delighted by our charming reception area, as well as by the efficient and attentive welcome of our team. Our 84 rooms, to which our staff devotes special attention, have been tastefully redesigned to provide you with comfort and modernity. Enjoy free WiFi in the room and in public areas. Take your hearty breakfast in buffet style in an unusual setting, as you discover the original vaulted cellar, a beautiful and airy structure. Needless to say, you may also order your a-la-carte breakfast to be served directly in your room. Thus, the warm and modern furnishings of the hotel , its outstanding central location and our caring staff are the perfect ingredients for a successful business or leisure trip!
Read more";84; Charming Business ;hotel.lorette@astotel.com;4.5;1,955;4.5;4.5;4.5;4.0;100.0;109.0;462.0;English, French, Spanish, Chinese and 4 more ;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;0;0;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;7;Passy Eiffel Hotel;174;#281;10 rue de Passy, 75016 Paris France;01 86 76 10 66;https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=315160&from=Hotel_Review&area=&slot=2&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=227097883&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkUadABJGHkVw6YUaQRaJE_9L0fXTznsJ2RvsJywYUxdjVtLaH7T7ikGuPYR5R0pP0g&adults=2&child_rm_ages=&inDay=27&outDay=28&rooms=1&inMonth=3&inYear=2022&outMonth=3&outYear=2022&def_d=true&bapid=2&cs=19c9285f9b65ff465c68819569299cdb1&ba_uid=9596f521-f537-420c-ac3d-c3a8e128d701;"Looking for a place to stay in Paris? Then look no further than Passy Eiffel Hotel, a romantic hotel that brings the best of Paris to your doorstep. Free wifi is offered to guests, and rooms at Passy Eiffel Hotel offer flat screen TV, air conditioning, and a minibar.During your stay, take advantage of some of the amenities offered, including a 24 hour front desk , honnesty bar and baggage storage. Guests of Passy Eiffel Hotel are also welcome to enjoy breakfast buffet, located on site. For travelers arriving by car, parking is available across the street.Given the close proximity of popular landmarks, such as Eiffel tower and Champs Elysees. Guests of Passy Eiffel Hotel can easily experience some of Paris' most well known attractions. We’re sure you’ll enjoy your stay at Passy Eiffel Hotel as you experience everything Paris has to offer.
Read more";49; City View Residential Neighborhood ;contact@passyeiffel.com;4.5;1,001;4.5;4.5;4.5;4.5;100.0;25.0;75.0;English, French, Spanish, Arabic and 2 more ;1;1;0;1;1;0;1;0;0;1;1;1;1;0;0;0;0;0;1;1;1;1;0;0;1;1;0;1;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0
8;8;Home MODERNE;112;#334;61, rue Brancion, 75015 Paris France;None;https://us.trip.com/hotels/detail?hotelid=730158&Allianceid=3242848&SID=8120429&ouid=60b1157b-3151-4d81-b5d2-46cb2b0074c6&checkin=2022-03-27&checkout=2022-03-28&adult=2&children=0&crn=1&curr=USD;The Home Moderne Hotel has been refurbished one year ago, it is located in the 15th district, close by the Porte de Versailles (congress center)For leisure or for business, the Home Moderne Hotel is the place you are looking for.;63; Residential Neighborhood ;contac@homemoderne.com;4.5;1,315;4.0;4.5;4.5;4.5;85.0;11.0;65.0;English, French, Spanish, Portuguese ;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
9;9;Hotel Darcet;77;#121;4 rue Darcet 17 Arr., 75017 Paris France;None;https://us.trip.com/hotels/detail?hotelid=1574202&Allianceid=3242848&SID=8120429&ouid=bb3de5ff-366b-4a45-9897-122f1c99a545&checkin=2022-03-27&checkout=2022-03-28&adult=2&children=0&crn=1&curr=USD;"Clean, modern, convenient, efficient and charming (air conditioning, parquet floor in all rooms, free internet connection throughout the hotel WIFI, double glazed windows with shutters etc ...)We are located in one of the most attractive and picturesque area of the capital, near the Place de Clichy in the Batignolles district at the foot of Montmartre.Darcet hotel is within walking distance of the Champs Elysees and the Louvre.We are close to the Saint Lazare train station and close enough to transit the Gare du Nord, de L'est, Montparnasse, Austerlitz, Bercy etc ...).
Read more";32; Classic ;hoteldarcet@orange.fr;4.5;1,071;4.5;5.0;4.5;4.5;100.0;37.0;327.0;English, French, Russian, Ukrainian ;1;1;0;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
